date,ev_registrations,type,cumulative_ev_fleet
2015-01-01,109,actual,109
2015-02-01,140,actual,249
2015-03-01,229,actual,478
2015-04-01,163,actual,641
2015-05-01,163,actual,804
2015-06-01,200,actual,1004
2015-07-01,329,actual,1333
2015-08-01,150,actual,1483
2015-09-01,261,actual,1744
2015-10-01,477,actual,2221
2015-11-01,348,actual,2569
2015-12-01,239,actual,2808
2016-01-01,298,actual,3106
2016-02-01,334,actual,3440
2016-03-01,653,actual,4093
2016-04-01,539,actual,4632
2016-05-01,575,actual,5207
2016-06-01,390,actual,5597
2016-07-01,422,actual,6019
2016-08-01,238,actual,6257
2016-09-01,432,actual,6689
2016-10-01,413,actual,7102
2016-11-01,650,actual,7752
2016-12-01,662,actual,8414
2017-01-01,407,actual,8821
2017-02-01,463,actual,9284
2017-03-01,653,actual,9937
2017-04-01,756,actual,10693
2017-05-01,755,actual,11448
2017-06-01,901,actual,12349
2017-07-01,1122,actual,13471
2017-08-01,1068,actual,14539
2017-09-01,1318,actual,15857
2017-10-01,1895,actual,17752
2017-11-01,1412,actual,19164
2017-12-01,1568,actual,20732
2018-01-01,1649,actual,22381
2018-02-01,1118,actual,23499
2018-03-01,1878,actual,25377
2018-04-01,1317,actual,26694
2018-05-01,1460,actual,28154
2018-06-01,2244,actual,30398
2018-07-01,1491,actual,31889
2018-08-01,1109,actual,32998
2018-09-01,2039,actual,35037
2018-10-01,1915,actual,36952
2018-11-01,2034,actual,38986
2018-12-01,3194,actual,42180
2019-01-01,1960,actual,44140
2019-02-01,2179,actual,46319
2019-03-01,2881,actual,49200
2019-04-01,1949,actual,51149
2019-05-01,2650,actual,53799
2019-06-01,3278,actual,57077
2019-07-01,3238,actual,60315
2019-08-01,1321,actual,61636
2019-09-01,2443,actual,64079
2019-10-01,2728,actual,66807
2019-11-01,4018,actual,70825
2019-12-01,3216,actual,74041
2020-01-01,4347,actual,78388
2020-02-01,4392,actual,82780
2020-03-01,2760,actual,85540
2020-04-01,509,actual,86049
2020-05-01,2928,actual,88977
2020-06-01,3414,actual,92391
2020-07-01,5691,actual,98082
2020-08-01,3348,actual,101430
2020-09-01,5286,actual,106716
2020-10-01,5531,actual,112247
2020-11-01,6099,actual,118346
2020-12-01,11910,actual,130256
2021-01-01,2553,actual,132809
2021-02-01,3930,actual,136739
2021-03-01,7074,actual,143813
2021-04-01,6001,actual,149814
2021-05-01,7588,actual,157402
2021-06-01,9378,actual,166780
2021-07-01,7024,actual,173804
2021-08-01,4958,actual,178762
2021-09-01,8172,actual,186934
2021-10-01,7940,actual,194874
2021-11-01,8683,actual,203557
2021-12-01,10237,actual,213794
2022-01-01,6828,actual,220622
2022-02-01,7818,actual,228440
2022-03-01,8480,actual,236920
2022-04-01,7614,actual,244534
2022-05-01,8516,actual,253050
2022-06-01,9503,actual,262553
2022-07-01,7766,actual,270319
2022-08-01,5730,actual,276049
2022-09-01,9189,actual,285238
2022-10-01,8449,actual,293687
2022-11-01,10152,actual,303839
2022-12-01,10186,actual,314025
2023-01-01,8999,actual,323024
2023-02-01,10155,actual,333179
2023-03-01,12803,actual,345982
2023-04-01,9892,actual,355874
2023-05-01,13370,actual,369244
2023-06-01,14463,actual,383707
2023-07-01,11121,actual,394828
2023-08-01,9043,actual,403871
2023-09-01,10385,actual,414256
2023-10-01,13806,actual,428062
2023-11-01,14390,actual,442452
2023-12-01,14701,actual,457153
2024-01-01,12843,forecast,469996
2024-02-01,14402,forecast,484398
2024-03-01,17474,forecast,501872
2024-04-01,13675,forecast,515547
2024-05-01,17602,forecast,533149
2024-06-01,19578,forecast,552727
2024-07-01,19306,forecast,572033
2024-08-01,14787,forecast,586820
2024-09-01,20131,forecast,606951
2024-10-01,22023,forecast,628974
2024-11-01,23754,forecast,652728
2024-12-01,25793,forecast,678521
2025-01-01,20994,forecast,699515
2025-02-01,23008,forecast,722523
2025-03-01,27749,forecast,750272
2025-04-01,21959,forecast,772231
2025-05-01,28032,forecast,800263
2025-06-01,31099,forecast,831362
2025-07-01,30732,forecast,862094
2025-08-01,23823,forecast,885917
2025-09-01,32094,forecast,918011
2025-10-01,35044,forecast,953055
2025-11-01,37745,forecast,990800
2025-12-01,40919,forecast,1031719
2026-01-01,33627,forecast,1065346
2026-02-01,36779,forecast,1102125
2026-03-01,44105,forecast,1146230
2026-04-01,35278,forecast,1181508
2026-05-01,44678,forecast,1226186
2026-06-01,49444,forecast,1275630
2026-07-01,48959,forecast,1324589
2026-08-01,38391,forecast,1362980
2026-09-01,51205,forecast,1414185
2026-10-01,55807,forecast,1469992
2026-11-01,60030,forecast,1530022
2026-12-01,64975,forecast,1594997
2027-01-01,53891,forecast,1648888
2027-02-01,58830,forecast,1707718
2027-03-01,70162,forecast,1777880
2027-04-01,56699,forecast,1834579
2027-05-01,71261,forecast,1905840
2027-06-01,78675,forecast,1984515
2027-07-01,78058,forecast,2062573
2027-08-01,61889,forecast,2124462
2027-09-01,81752,forecast,2206214
2027-10-01,88942,forecast,2295156
2027-11-01,95551,forecast,2390707
2027-12-01,103265,forecast,2493972
